cid,neighborCid
9797515997899390976,9797516135338344448
9797515997899390976,9797516238417559552
9797515997899390976,9797516272777297920
9797516066618867712,9797515379424100352
9797516066618867712,9797515413783838720
9797516066618867712,9797515448143577088
9797516066618867712,9797515619942268928
9797516066618867712,9797515654302007296
9797516066618867712,9797515997899390976
9797516066618867712,9797516032259129344
9797516066618867712,9797516100978606080
9797516100978606080,9797515379424100352
9797516100978606080,9797515413783838720
9797516100978606080,9797515997899390976
9797516100978606080,9797516032259129344
9797516100978606080,9797516066618867712
9797516100978606080,9797516135338344448
9797516100978606080,9797516238417559552
9797516100978606080,9797516856892850176
9797516238417559552,9797515963539652608
9797516238417559552,9797515997899390976
9797516238417559552,9797516100978606080
9797516238417559552,9797516135338344448
9797516238417559552,9797516169698082816
9797516238417559552,9797516204057821184
9797516238417559552,9797516272777297920
9797516238417559552,9797516375856513024
9797516307137036288,9797515929179914240
9797516307137036288,9797515963539652608
9797516307137036288,9797516272777297920
9797516307137036288,9797516341496774656
9797516307137036288,9797516375856513024
9797516307137036288,9797540084075986944
9797516307137036288,9797540118435725312
9797516307137036288,9797540496392847360
9797516478935728128,9797516410216251392
9797516478935728128,9797516444575989760
9797516478935728128,9797516513295466496
9797516478935728128,9797528161246773248
9797516478935728128,9797528195606511616
9797516478935728128,9797528229966249984
9797516478935728128,9797539946637033472
9797516478935728128,9797539980996771840
9797516547655204864,9797516410216251392
9797516547655204864,9797516513295466496
9797516547655204864,9797516582014943232
9797516547655204864,9797516616374681600
9797516547655204864,9797516650734419968
9797516547655204864,9797527680210436096
9797516547655204864,9797527714570174464
9797516547655204864,9797528161246773248
9797516822533111808,9797516135338344448
9797516822533111808,9797516169698082816
9797516822533111808,9797516616374681600
9797516822533111808,9797516753813635072
9797516822533111808,9797516788173373440
9797516822533111808,9797516856892850176
9797516822533111808,9797516891252588544
9797516822533111808,9797516925612326912
9797516856892850176,9797515345064361984
9797516856892850176,9797515379424100352
9797516856892850176,9797516100978606080
9797516856892850176,9797516135338344448
9797516856892850176,9797516169698082816
9797516856892850176,9797516822533111808
9797516856892850176,9797516891252588544
9797516856892850176,9797516925612326912
9797519674391396352,9797519502592704512
9797519674391396352,9797519536952442880
9797519674391396352,9797519571312181248
9797519674391396352,9797519605671919616
9797519674391396352,9797519640031657984
9797519674391396352,9797519708751134720
9797519674391396352,9797519743110873088
9797519674391396352,9797519880549826560
9797520189787471872,9797520121067995136
9797520189787471872,9797520155427733504
9797520189787471872,9797520224147210240
9797520189787471872,9797520258506948608
9797520189787471872,9797520292866686976
9797520189787471872,9797527336613052416
9797520189787471872,9797527439692267520
9797520189787471872,9797527474052005888
9797522320091250688,9797498886749683712
9797522320091250688,9797498921109422080
9797522320091250688,9797498955469160448
9797522320091250688,9797522251371773952
9797522320091250688,9797522285731512320
9797522320091250688,9797522354450989056
9797522320091250688,9797522388810727424
9797522320091250688,9797522423170465792
9797525446827442176,9797525343748227072
