cid,nFac
9833562799421259776,2
9833658113335492608,3
9834145678022934528,3
9834165263073804288,3
9834176086391390208,22
9837483657885908992,1
9837643602468012032,2
9837649615422226432,1
9837666760931672064,1
9838297914965753856,3
9838377457760075776,1
9838408759481729024,3
9838421335145971712,5
9838504829310205952,2
9839188485024514048,2
9839336266259234816,2
9839470853354422272,1
9839710272011370496,2
9840115167168299008,1
9870809511726415872,1
9871394692430561280,1
9871953313056948224,3
9935145201242734592,2
9935169081260900352,1
9935251132316123136,4
9935263501821935616,4
9935270511208562688,13
9935273981542137856,3
9935296143573385216,1
9935437465177292800,1
9935575763124224000,37
9935620808741224448,23
9935628642761572352,5
9935671248837148672,4
9935671317556625408,1
9935680663405461504,1
9935680903923630080,9
9935680938283368448,1
9935681007002845184,3
9935681041362583552,1
9935682553191071744,10
9935685370689617920,2
9935689287699791872,2
9935690455930896384,2
9935697121720139776,1
9935708529153277952,1
9935709319427260416,3
9935710659457056768,1
9935712755401097216,1
9935713202077696000,2
9935713270797172736,1
9935713751833509888,1
9935713854912724992,11
9935713889272463360,6
9935713923632201728,2
9935713992351678464,4
9935714610826969088,57
9935752990654726144,2
9935755155318243328,1
9935756426628562944,1
9935757182542807040,2
9935758178975219712,3
9935789411977396224,34
9935792813591494656,7
9935792882310971392,20
9935793638225215488,87
9935793913103122432,28
9935807485199777792,7
9935813360715038720,1
9935823325039165440,3
9935928122241187840,16
9935932485927960576,1
9935939186076942336,16
9935940285588570112,4
9935940354308046848,7
9935943859001360384,16
9935943927720837120,1
9935944202598744064,29
9935945473909063680,23
9935954785398161408,12
9935960523474468864,11
9935961829144526848,9
9935962138382172160,1
9935962619418509312,23
9935965539996270592,17
9935965677435224064,4
9935970384719380480,8
9935988217423593472,12
9935988251783331840,11
9935989213856006144,1
9936020446858182656,3
9936035874380709888,1
9936036389776785408,3
9936038417001349120,57
9936040993981726720,19
9936041028341465088,14
9936043089925767168,1
9936043605321842688,2
9936047797209923584,17
9936048072087830528,6
9936048243886522368,30
9936048312605999104,37
9936048656203382784,15
9936050820866899968,22
9936054531718643712,5
9936072845459193856,4
9936073017257885696,40
9936078136858902528,9
9936078343017332736,13
9936081675911954432,10
9936162833613979648,1
9936173725651042304,1
9936178158057291776,16
9936187125949005824,9
9936190355764412416,4
9936201419600166912,1
9936213239350165504,67
9936213273709903872,21
9936213514228072448,31
9936213995264409600,5
9936217190720077824,6
9936219389743333376,1
9936225333978071040,10
9936226089892315136,1
9936226433489698816,3
9936226674007867392,1
9936227361202634752,7
9936228838671384576,3
9936229250988244992,1
