assayName,sym,dir,log2fc,adjp
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GAB1,up,1.6,0.000104872
'progressive supranuclear palsy' vs 'normal',GAB1,down,-1.2,0.00989893
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABBR1,down,-1.0,0.00962762
'Alzheimers disease' vs 'normal' in 'hippocampus',GABBR1,down,-1.5,1.96105e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GABBR1,down,-1.3,0.00129736
'Pick disease' vs 'normal',GABBR1,down,-1.5,0.000787842
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MPV17L,up,1.0,0.00330116
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PLA2G4F,down,-1.1,0.00110254
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRA1,down,-2.6,0.000625605
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABRA1,down,-2.0,0.00170485
'Alzheimers disease' vs 'normal' in 'hippocampus',GABRA1,down,-1.0,0.00859274
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RNF144B,up,1.6,0.000886084
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABRA2,up,1.6,0.002494
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRA2,down,-2.1,0.000184678
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRA3,down,-1.3,0.00289217
'Alzheimers disease' vs 'normal' in 'hippocampus',GABRA3,up,1.3,0.00184128
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',COL24A1,down,-1.7,1.09252e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABRA4,down,-1.9,0.00249573
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRA4,down,-2.1,0.00101239
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NPNT,up,1.0,0.00157237
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',INAFM1,down,-2.4,2.93586e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GABRA5,down,-1.6,0.004625
'progressive supranuclear palsy' vs 'normal',GABRB1,up,1.1,0.00755108
'Alzheimers disease' vs 'normal' in 'hippocampus',GABRB2,up,1.2,0.00234292
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABRB3,down,-1.6,0.000464886
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRB3,down,-1.7,3.85832e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NUDT14,down,-1.5,5.03046e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',GABRD,down,-1.0,0.00171534
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABRD,down,-1.5,0.00011752
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRD,down,-2.7,1.95497e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TMEM151A,down,-1.5,0.00131911
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TMEM151A,down,-1.7,2.03943e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABRG1,up,2.4,1.05576e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRG1,up,1.8,0.00304072
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',GABRG1,up,1.4,0.00737293
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TCERG1L,down,-1.0,0.00291607
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LYSMD2,down,-1.4,0.000677247
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABRG2,down,-2.8,0.00311163
'Alzheimers disease' vs 'normal' in 'hippocampus',GABRG2,down,-1.3,0.0006091
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GABRG2,down,-2.0,0.00626283
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABRG2,down,-2.9,0.000132099
'Alzheimers disease' vs 'normal' in 'hippocampus',MAP7D2,down,-1.2,0.00621724
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MAP7D2,down,-2.2,0.000359944
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MAP7D2,down,-1.3,0.00649458
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SERINC5,up,1.6,2.25162e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GAD1,down,-1.6,0.00993263
'Alzheimers disease' vs 'normal' in 'hippocampus',GAD1,down,-1.2,0.0005927
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GAD1,down,-1.8,0.0012972
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NEGR1,down,-2.6,0.0028919
'Alzheimers disease' vs 'normal' in 'hippocampus',GAD2,down,-1.1,0.000943741
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GAD2,down,-1.5,0.00462038
'Alzheimers disease' vs 'normal' in 'hippocampus',TAB3,down,-1.3,0.00829806
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TAB3,down,-1.3,0.00356399
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',KIAA1549L,down,-1.3,0.000754562
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KIAA1549L,down,-2.0,0.000235889
'Pick disease' vs 'normal',PRPF40B,down,-1.0,5.78683e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SLC24A2,down,-1.1,0.00401702
'Alzheimers disease' vs 'normal' in 'hippocampus',DSTYK,down,-1.1,0.000695365
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TMEM59L,down,-1.3,7.16332e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NGEF,down,-1.4,0.000343518
'Alzheimers disease' vs 'normal' in 'hippocampus',FBXO7,down,-1.2,0.000437932
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC010618.1,up,1.0,0.000507281
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PGLS,up,1.0,0.000507281
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC010618.1,down,-2.3,2.18434e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PGLS,down,-2.3,2.18434e-06
'Pick disease' vs 'normal',GCA,down,-1.1,0.00955193
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GCA,down,-1.2,0.00239341
'Pick disease' vs 'normal',SVIP,down,-1.5,0.00846661
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LSM4,down,-1.4,0.0032072
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LSM4,down,-1.2,5.65803e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',LSM4,down,-1.0,0.00101256
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RHBDD3,up,1.2,6.34219e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',TTLL1,down,-1.2,0.000229504
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TTLL1,down,-1.0,0.000392357
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TTLL1,down,-1.0,0.00128411
'Pick disease' vs 'normal',GALC,down,-1.0,0.0011215
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GALC,down,-1.5,2.26354e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',GALC,down,-1.2,0.000303969
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SAMM50,down,-1.4,0.000227317
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SAMM50,down,-2.5,5.00914e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ATXN10,down,-1.8,0.000695377
'Pick disease' vs 'normal',ATXN10,down,-1.0,0.000247143
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ATXN10,down,-1.4,0.000347321
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FAM19A5,down,-1.5,0.00327927
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TAFA5,down,-1.5,0.00327927
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GALE,down,-1.4,3.71828e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ARIH1,up,1.0,0.000955509
'Pick disease' vs 'normal',ARIH1,up,1.2,0.000108336
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MTO1,down,-1.5,0.000479589
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PRDX5,down,-2.8,0.000842782
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',BACE2,up,1.3,1.35662e-05
'Pick disease' vs 'normal',FBXL2,down,-1.4,0.000452555
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FBXL2,down,-1.2,0.00214572
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',B4GALNT1,down,-1.3,1.19856e-05
'Pick disease' vs 'normal',SULT4A1,down,-1.1,0.00459659
'Alzheimers disease' vs 'normal' in 'hippocampus',SULT4A1,down,-1.3,0.000108243
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SULT4A1,down,-1.3,0.000742005
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SULT4A1,down,-2.0,3.01169e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HECTD1,down,-1.1,0.00173896
'Pick disease' vs 'normal',MGAT4C,up,1.0,0.00251088
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NIPBL,up,1.7,8.3462e-07
'Pick disease' vs 'normal',RAB26,down,-1.2,0.000228653
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',METTL7A,up,1.3,0.000656553
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TMT1A,up,1.3,0.000656553
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',METTL7A,up,2.0,0.000662382
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',TMT1A,up,2.0,0.000662382
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ASF1A,down,-1.0,0.00249455
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MOB4,down,-1.2,0.000120694
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MOB4,down,-1.1,0.000436807
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',YIPF3,down,-1.4,0.000255562
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ANAPC13,down,-1.4,0.00226084
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ANAPC13,down,-1.2,0.000257421
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ANAPC13,down,-1.0,0.000269073
'Alzheimers disease' vs 'normal' in 'hippocampus',ANAPC13,down,-1.0,0.00548236
'Pick disease' vs 'normal',GALK2,up,1.0,0.000589235
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ARMC8,down,-1.3,0.000121576
'Alzheimers disease' vs 'normal' in 'hippocampus',ARMC8,down,-1.1,0.00804522
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PART1,down,-1.3,0.00235125
'Pick disease' vs 'normal',PART1,down,-1.3,0.00946229
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PART1,down,-2.4,2.20431e-07
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ABHD14A,down,-3.0,7.24204e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ABHD14A,down,-1.1,0.00205053
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NEPRO,down,-1.2,0.000465272
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RPL36,down,-1.0,0.000575071
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MPC2,down,-1.3,0.000677247
'Alzheimers disease' vs 'normal' in 'hippocampus',LETMD1,down,-1.5,0.00062057
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LETMD1,down,-1.6,0.000331343
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',LETMD1,down,-1.4,2.51538e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',DCAF13,down,-1.2,0.00036867
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',POLR1A,down,-1.4,2.08184e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RNF19A,down,-1.1,0.00212597
'Pick disease' vs 'normal',IFFO1,down,-1.1,6.80489e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CCDC28A,down,-1.1,0.00167946
'Alzheimers disease' vs 'normal' in 'hippocampus',CCDC28A,down,-1.1,0.00809456
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CCDC28A,down,-1.6,0.000144859
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MTHFD1L,down,-1.2,0.00154404
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ANAPC15,down,-1.1,4.05003e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DPCD,down,-1.2,6.72237e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',C1orf43,down,-1.1,0.00501288
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',C1orf43,down,-1.8,5.11921e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',POT1,down,-1.3,0.00278347
'Alzheimers disease' vs 'normal' in 'hippocampus',THUMPD3,down,-1.2,0.00515388
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',THUMPD3,down,-1.5,9.16273e-06
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',THUMPD3,down,-1.4,3.03244e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',THUMPD3,down,-1.5,0.000400422
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZDHHC5,down,-1.3,0.000479589
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HSPA12A,down,-1.7,0.000178695
'Pick disease' vs 'normal',HSPA12A,down,-1.4,0.0094481
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HSPA12A,down,-2.0,6.66623e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',HSPA12A,down,-1.1,0.00541302
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SGMS1,up,1.0,0.00174133
'Pick disease' vs 'normal',NALCN,down,-1.3,0.00543799
'Pick disease' vs 'normal',ZNF521,up,1.1,7.59147e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CNRIP1,down,-1.1,0.00021182
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CNRIP1,down,-1.5,1.17775e-05
'Pick disease' vs 'normal',CNRIP1,down,-1.1,0.000371668
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SOSTDC1,down,-1.4,0.000694237
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SOSTDC1,down,-1.4,0.00536401
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',BOD1L1,up,1.4,0.000876693
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',BOD1L1,up,1.5,0.000796313
'Pick disease' vs 'normal',BOD1L1,down,-1.3,0.000174868
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',BOD1L1,up,1.5,8.34942e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',BOD1L1,up,1.6,1.27395e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CLIC4,up,1.5,0.000975135
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CLIC4,up,1.3,0.00212945
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NIPSNAP3A,up,1.0,0.00753327
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',NSL1,up,1.1,0.00450413
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NSL1,up,1.2,2.3866e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',WWTR1,up,2.0,8.6614e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',WWTR1,up,2.0,3.60589e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',WWTR1,up,1.1,0.000645098
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',WWTR1,up,1.9,0.000266917
'Pick disease' vs 'normal',WWTR1,up,1.7,0.00781114
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HEATR5A,up,1.4,3.15633e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SAMHD1,up,1.4,4.27428e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',FAM98A,down,-1.5,0.00101256
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FAM98A,down,-1.3,0.00101046
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TPGS2,down,-2.9,1.05377e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TPGS2,down,-1.5,0.000245252
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PNKD,down,-1.5,1.94039e-05
'Pick disease' vs 'normal',SEC31B,down,-1.3,2.4568e-05
'Pick disease' vs 'normal',PNISR,up,1.2,1.86508e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',PNISR,up,1.4,0.000846891
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PNISR,up,1.0,7.15936e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',PNISR,up,1.7,0.00298795
'Pick disease' vs 'normal',KANK2,up,1.2,0.00957919
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KANK2,up,1.9,7.39993e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',KANK2,up,1.6,0.0040957
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',KANK2,up,1.2,7.46593e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',GAP43,down,-1.2,0.000401095
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GAP43,down,-2.1,0.00178708
'Alzheimers disease' vs 'normal' in 'hippocampus',KIAA1429,down,-1.0,0.0017223
'Alzheimers disease' vs 'normal' in 'hippocampus',VIRMA,down,-1.0,0.0017223
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GAPDH,down,-1.1,0.00448547
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GAPDH,down,-1.4,5.73127e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',UNC50,down,-1.5,0.000132988
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TIPARP,up,1.4,0.00545739
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NECAP1,down,-1.5,0.00709984
'Alzheimers disease' vs 'normal' in 'hippocampus',NECAP1,down,-1.5,0.00427893
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',NECAP1,down,-2.1,0.000159369
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CHMP2B,down,-1.4,0.00954494
'Alzheimers disease' vs 'normal' in 'hippocampus',CHMP2B,down,-1.2,0.00802199
'Pick disease' vs 'normal',DHRS7B,down,-1.0,0.000715291
'Alzheimers disease' vs 'normal' in 'hippocampus',DHRS7B,down,-1.3,0.000569097
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DHRS7B,down,-1.1,0.00268814
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DHRS7B,down,-1.1,0.0020753
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DNAH1,down,-1.8,2.89502e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',NGDN,down,-1.6,2.037e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SNED1,down,-1.3,0.000820723
'Alzheimers disease' vs 'normal' in 'hippocampus',REXO2,down,-1.3,0.000568498
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',REXO2,down,-1.0,0.000703656
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IBTK,up,1.3,0.00240238
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CLIP3,down,-2.4,3.71828e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CLIP3,down,-1.6,4.97894e-06
'Pick disease' vs 'normal',MOXD1,down,-1.5,0.00131625
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MOXD1,down,-1.1,0.00381354
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GORASP2,down,-1.8,0.000253187
'Alzheimers disease' vs 'normal' in 'hippocampus',SPATS2L,down,-1.1,0.00379949
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SPATS2L,down,-1.0,0.00130522
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SPATS2L,down,-1.8,6.50801e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TENM4,down,-1.0,0.00516822
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NSMF,up,1.1,6.15767e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FAM32A,down,-1.2,0.000187779
'Alzheimers disease' vs 'normal' in 'hippocampus',FAM32A,down,-1.0,0.00180932
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LRIG1,down,-1.1,0.00892592
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',LRIG1,up,2.1,0.000149372
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LRIG1,up,2.2,0.000592632
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',LRIG1,up,1.6,0.00293943
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',LRP10,up,1.6,1.77943e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',LRP10,up,1.1,0.00298795
'Pick disease' vs 'normal',TMEM98,down,-1.1,0.00578021
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PTCD1,down,-1.6,4.06544e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CYP4X1,down,-1.7,0.000691381
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',OSBPL3,down,-1.0,0.00924338
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',OSBPL3,down,-1.3,0.00237708
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ATRNL1,down,-2.0,5.16816e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ATRNL1,down,-1.4,0.0080774
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ATRNL1,down,-2.4,3.17415e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IPCEF1,down,-1.2,0.00894475
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GLCE,down,-1.2,0.00215276
'Alzheimers disease' vs 'normal' in 'hippocampus',GLCE,down,-1.4,0.0018027
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SIPA1L1,down,-1.8,5.11921e-05
'Pick disease' vs 'normal',SIPA1L1,up,1.1,0.00167936
'Alzheimers disease' vs 'normal' in 'hippocampus',SIPA1L1,down,-1.0,0.0025741
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',CHD5,up,1.1,0.00722527
'Pick disease' vs 'normal',SS18L1,down,-1.9,5.67792e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SS18L1,down,-1.0,0.00537449
'Alzheimers disease' vs 'normal' in 'hippocampus',SS18L1,down,-1.0,0.00463029
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MAGI3,down,-1.6,0.000489485
'Alzheimers disease' vs 'normal' in 'hippocampus',MAGI3,down,-1.6,0.000242687
'Pick disease' vs 'normal',UBXN7,up,1.7,4.77952e-06
