go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0006898,receptor-mediated endocytosis,Biological Process,9
http://purl.obolibrary.org/obo/GO_0002020,protease binding,Molecular Function,9
http://purl.obolibrary.org/obo/GO_0070374,positive regulation of ERK1 and ERK2 cascade,Biological Process,9
http://purl.obolibrary.org/obo/GO_0017124,SH3 domain binding,Molecular Function,9
http://purl.obolibrary.org/obo/GO_0009410,response to xenobiotic stimulus,Biological Process,9
http://purl.obolibrary.org/obo/GO_0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,Biological Process,9
http://purl.obolibrary.org/obo/GO_0008021,synaptic vesicle,Cellular Component,9
http://purl.obolibrary.org/obo/GO_0007611,learning or memory,Biological Process,9
http://purl.obolibrary.org/obo/GO_0045892,negative regulation of DNA-templated transcription,Biological Process,9
http://purl.obolibrary.org/obo/GO_0030426,growth cone,Cellular Component,9
http://purl.obolibrary.org/obo/GO_0005788,endoplasmic reticulum lumen,Cellular Component,9
http://purl.obolibrary.org/obo/GO_0007166,cell surface receptor signaling pathway,Biological Process,9
http://purl.obolibrary.org/obo/GO_0043524,negative regulation of neuron apoptotic process,Biological Process,9
http://purl.obolibrary.org/obo/GO_0098794,postsynapse,Cellular Component,9
http://purl.obolibrary.org/obo/GO_0035556,intracellular signal transduction,Biological Process,9
http://purl.obolibrary.org/obo/GO_0032760,positive regulation of tumor necrosis factor production,Biological Process,9
http://purl.obolibrary.org/obo/GO_0031625,ubiquitin protein ligase binding,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0031267,small GTPase binding,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0005509,calcium ion binding,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0030674,protein-macromolecule adaptor activity,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0007219,Notch signaling pathway,Biological Process,8
http://purl.obolibrary.org/obo/GO_0043565,sequence-specific DNA binding,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0006955,immune response,Biological Process,8
http://purl.obolibrary.org/obo/GO_0030054,cell junction,Cellular Component,8
http://purl.obolibrary.org/obo/GO_0014069,postsynaptic density,Cellular Component,8
http://purl.obolibrary.org/obo/GO_0016887,ATP hydrolysis activity,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0045202,synapse,Cellular Component,8
http://purl.obolibrary.org/obo/GO_0031982,vesicle,Cellular Component,8
http://purl.obolibrary.org/obo/GO_0016485,protein processing,Biological Process,8
http://purl.obolibrary.org/obo/GO_0005743,mitochondrial inner membrane,Cellular Component,8
http://purl.obolibrary.org/obo/GO_0001618,virus receptor activity,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0005694,chromosome,Cellular Component,8
http://purl.obolibrary.org/obo/GO_0048018,receptor ligand activity,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0097110,scaffold protein binding,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0048156,tau protein binding,Molecular Function,8
http://purl.obolibrary.org/obo/GO_0015031,protein transport,Biological Process,8
http://purl.obolibrary.org/obo/GO_0006509,membrane protein ectodomain proteolysis,Biological Process,8
http://purl.obolibrary.org/obo/GO_0008017,microtubule binding,Molecular Function,7
http://purl.obolibrary.org/obo/GO_1903078,positive regulation of protein localization to plasma membrane,Biological Process,7
http://purl.obolibrary.org/obo/GO_0051087,protein-folding chaperone binding,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0006355,regulation of DNA-templated transcription,Biological Process,7
http://purl.obolibrary.org/obo/GO_0097060,synaptic membrane,Cellular Component,7
http://purl.obolibrary.org/obo/GO_0003682,chromatin binding,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0045732,positive regulation of protein catabolic process,Biological Process,7
http://purl.obolibrary.org/obo/GO_0005759,mitochondrial matrix,Cellular Component,7
http://purl.obolibrary.org/obo/GO_0106310,protein serine kinase activity,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0042981,regulation of apoptotic process,Biological Process,7
http://purl.obolibrary.org/obo/GO_0004674,protein serine/threonine kinase activity,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0005938,cell cortex,Cellular Component,7
http://purl.obolibrary.org/obo/GO_0030666,endocytic vesicle membrane,Cellular Component,7
