fips,lat,lng
29065,37.63,-91.53
29069,36.58,-89.97
29071,38.47,-91.11
29073,38.51,-91.46
29075,40.24,-94.33
29077,37.18,-93.34
29079,40.08,-93.6
29085,37.94,-93.4
29089,39.22,-92.83
29091,36.86,-91.91
29095,39.04,-94.46
29097,37.11,-94.35
29099,38.32,-90.45
29105,37.76,-92.72
29107,39.04,-93.86
29109,37.03,-93.76
29111,40.03,-91.52
29113,39.02,-90.9
29115,39.78,-93.07
29117,39.79,-93.55
29119,36.62,-94.41
29121,39.73,-92.47
29127,39.79,-91.52
29133,36.91,-89.33
29135,38.64,-92.67
29141,38.43,-92.84
29143,36.42,-89.69
29145,36.87,-94.35
29147,40.34,-94.87
29151,38.49,-91.84
29155,36.17,-89.66
29157,37.72,-89.87
29159,38.7,-93.23
29161,37.94,-91.76
29163,39.44,-91.05
29165,39.22,-94.68
29167,37.6,-93.41
29173,39.64,-91.38
29175,39.41,-92.43
29177,39.27,-93.97
29183,38.77,-90.67
29187,37.85,-90.49
29189,38.64,-90.39
29195,39.11,-93.2
29199,40.46,-92.16
29209,36.63,-93.63
29213,36.64,-93.24
29215,37.32,-91.95
29217,37.84,-94.35
29219,38.72,-91.09
29221,37.76,-90.77
29225,37.29,-93.01
29229,37.11,-92.42
29510,38.63,-90.24
30009,45.48,-108.99
30013,47.49,-111.33
30021,47.12,-104.87
30027,47.01,-109.34
30029,48.3,-114.26
30031,45.78,-111.15
30047,47.53,-114.13
30049,46.53,-111.99
30053,48.32,-115.36
30063,46.91,-114.05
30067,45.7,-110.53
30073,48.2,-111.85
30081,46.5,-114.1
30091,48.72,-104.57
30093,46.0,-112.44
30097,45.96,-109.85
30111,45.77,-108.52
31001,40.58,-98.39
31011,41.68,-98.0
31013,42.1,-102.87
31015,42.87,-98.7
31019,40.73,-98.9
31021,41.93,-96.47
31025,40.95,-95.9
31027,42.5,-97.2
31033,41.13,-102.97
31037,41.72,-97.0
31039,41.83,-96.7
31043,42.46,-96.41
31047,40.77,-99.74
31051,42.45,-96.73
31053,41.44,-96.49
31055,41.26,-96.02
31067,40.19,-96.7
31077,41.68,-98.36
31079,40.86,-98.41
31081,40.77,-98.15
31089,42.53,-98.97
31095,40.14,-97.17
31099,40.5,-98.95
31101,41.13,-101.72
31105,41.23,-103.65
31109,40.84,-96.67
31111,41.13,-100.77
31119,42.03,-97.41
31137,40.44,-99.37
31139,42.19,-97.52
31141,41.58,-97.64
31145,40.2,-100.62
31147,40.06,-95.59
31151,40.53,-97.03
31153,41.17,-96.08
31155,41.21,-96.62
31157,41.86,-103.78
31159,40.86,-97.12
31167,41.94,-97.22
31169,40.24,-97.57
31173,42.11,-96.71
31177,41.45,-96.35
31179,42.23,-97.01
31185,40.93,-97.59
32001,39.5,-118.29
32003,36.12,-115.06
32005,39.01,-119.75
32007,40.95,-115.79
32013,41.12,-118.05
32019,39.41,-119.32
32023,36.17,-116.0
32027,40.32,-118.2
32031,39.54,-119.81
32510,39.14,-119.71
33001,43.51,-71.44
33003,43.78,-71.15
33005,42.95,-72.29
33007,44.53,-71.38
33009,43.79,-72.04
33011,42.86,-71.59
33013,43.24,-71.61
33015,42.93,-71.09
33017,43.26,-70.95
33019,43.37,-72.23
34001,39.47,-74.63
34003,40.9,-74.06
34005,40.0,-74.86
34007,39.89,-75.03
34011,39.45,-75.02
34013,40.78,-74.22
34015,39.75,-75.13
34017,40.75,-74.07
34019,40.63,-74.85
34021,40.24,-74.73
34023,40.49,-74.4
34025,40.24,-74.18
34027,40.87,-74.42
34029,39.91,-74.26
34031,40.92,-74.19
34033,39.72,-75.46
34035,40.56,-74.53
34037,41.1,-74.64
34039,40.66,-74.3
34041,40.75,-75.06
35001,35.09,-106.62
35005,33.33,-104.52
35007,36.88,-104.44
35009,34.41,-103.2
35013,32.21,-106.78
35015,32.62,-104.33
