comid,s2
13632143,9801771795093651456
13632143,9801771898172866560
13632145,9801914181849448448
13632163,9801914250568925184
13632165,9801914250568925184
13632173,9799138052428267520
13632179,9801771898172866560
13632181,9801914250568925184
13632183,9801914250568925184
13632195,9801914113129971712
13632213,9801835120091463680
13632217,9801835120091463680
13632221,9801770661222285312
13632221,9801835601127800832
13632231,9801912188984623104
13632239,9801912188984623104
13632261,9801914388007878656
13632263,9801914388007878656
13632271,9801914250568925184
13632271,9801914388007878656
13632273,9801914388007878656
13632279,9801820723361087488
13632279,9801820826440302592
13632281,9801835120091463680
13632283,9801820826440302592
13632287,9801820826440302592
13632293,9801914388007878656
13632311,9801808937970827264
13632311,9801820723361087488
13632311,9801820826440302592
13632315,9801808937970827264
13632341,9801820826440302592
13632343,9801940295250608128
13632345,9801912188984623104
13632345,9801940295250608128
13632347,9801940295250608128
13632351,9801940295250608128
13632357,9801940295250608128
13632359,9801928234982440960
13632371,9801808869251350528
13632371,9801808937970827264
13632373,9801808766172135424
13632373,9801808869251350528
13632395,9801808697452658688
13632395,9801808869251350528
13632411,9801937615191015424
13632415,9801937615191015424
13632421,9801937615191015424
13632435,9801926654434476032
13632443,9801937615191015424
13632447,9801941566560927744
13632449,9801941566560927744
13632461,9801941566560927744
13632467,9801941566560927744
13632487,9801941566560927744
13632507,9801939642415579136
13632513,9801939642415579136
13632587,9801819967446843392
