humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
TAPT1	Tapt1	202018	↓	-0.323211	0.0026201	-0.331048	0.0018304	2	True	False		gwas_strong	BMD|osteoporosis		False			42.2	B
OMA1	Oma1	115209	↑	0.327577	0.00587075	0.284878	0.0180317	2	True	False		gwas_strong	osteoporosis		False			42.2	B
PPP1R2	Ppp1r2	5504	↑	0.325108	0.0115598	0.277203	0.0351226	2	True	False		gwas_strong	osteoporosis		False			42.2	B
EPG5	Epg5	57724	↓	-0.285663	0.0327793	-0.323642	0.0144617	2	True	False		gwas_strong	BMD|fracture		False			42.2	B
EPHA4	Epha4	2043	↓			-1.37067	0.0476907	1		True		gwas_strong	osteoporosis		False			42.1	B
ANKRD46	Ankrd46	157567	↑	0.312818	0.0153996	0.315617	0.0158157	2	True	False		gwas_strong	osteoporosis		False			42.1	B
ZDHHC16	Zdhhc16	84287	↑	0.293739	0.0286662	0.309871	0.0198104	2	True	False		gwas_strong	BMD|fracture		False			42.1	B
OSTM1	Ostm1	28962	↑	0.308016	0.000152204	0.231792	0.00557779	2	True	False		gwas_strong	BMD|fracture		False			42.1	B
FOS	Fos	2353	↑			1.33562	0.0152497	1		True		gwas_strong	BMD|fracture		False			41.9	B
NFATC4	Nfatc4	4776	↓			-1.32907	0.048671	1		True		gwas_strong	BMD|fracture		False			41.9	B
