hEntrez,humanSymbol,mouse_symbols,log2fc,log2fc_mean,adj_p_value,n_mouse_map,sign_flip,assay,osd,tissue,organism
337880,KRTAP11-1,Krtap11-1,4.1703,4.1703,0.0462555,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
344658,SAMD7,Samd7,4.1684,4.1684,3.90352e-10,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
7062,TCHH,Tchh,4.1365,4.1365,0.00237406,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
1747,DLX3,Dlx3,4.1049,4.1049,0.0134982,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
121952,METTL21EP,Mettl21e,4.0796,4.0796,3.34613e-28,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
55612,FERMT1,Fermt1,4.0596,4.0596,0.0225051,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
23650,TRIM29,Trim29,4.0559,4.0559,0.000136595,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
55507,GPRC5D,Gprc5d,4.039,4.039,0.0322061,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
1832,DSP,Dsp,4.0146,4.0146,0.000368134,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
1188,CLCNKB,Clcnka,3.998,3.998,0.00594381,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
