hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
83463	MXD3	Mxd3	17121	-0.457947	-0.457947	0.000653825	1			False	False	True
83464	APH1B	Aph1b	208117	0.338498	0.338498	0.0109832	1			False	False	True
83475	DOHH	Dohh	102115	0.353426	0.353426	0.0125577	1		Osteoporosis|Osteopenia	False	True	True
83483	PLVAP	Plvap	84094	-0.892819	-0.892819	0.00323331	1			False	False	True
835	CASP2	Casp2	12366	-0.189253	-0.189253	0.0145922	1			False	False	True
8350	H3C1	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8351	H3C4	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8352	H3C3	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8353	H3C6	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8354	H3C11	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8355	H3C8	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8356	H3C12	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8357	H3C10	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8358	H3C2	H3c8	97908	0.403136	0.403136	0.0153177	1			False	False	True
8359	H4C1	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
83592	AKR1E2	Akr1e1	56043	0.936845	0.936845	0.0137407	1	BMD|fracture|osteoporosis		False	True	True
836	CASP3	Casp3	12367	0.34506	0.34506	2.59482e-05	1	BMD		False	True	True
8360	H4C4	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
83605	CCM2	Ccm2	216527	0.234498	0.234498	0.0252661	1	BMD		False	True	True
83606	GUCD1	Gucd1	68778	-0.379112	-0.379112	2.79032e-05	1			False	False	True
8361	H4C6	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
8362	H4C12	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
8363	H4C11	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
83636	C19orf12	1600014C10Rik	72244	0.378578	0.378578	0.00644343	1			False	False	True
8364	H4C3	H4c4	319156	0.409474	0.409474	0.010756	1		Osteoporosis|Osteopenia	False	True	True
83640	RAMAC	Ramac	67148	0.300314	0.300314	0.0380521	1			False	False	True
83641	FAM107B	Fam107b	66540	0.258065	0.258065	0.0160223	1			False	False	True
8365	H4C8	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
83658	DYNLRB1	Dynlrb1	67068	0.376966	0.376966	9.13913e-05	1			False	False	True
8366	H4C2	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
83660	TLN2	Tln2	70549	-0.811988	-0.811988	0.0412594	1			False	False	True
