hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
285855	RPL7L1	Rpl7l1	66229	0.34102	0.34102	0.000746578	1			False	False	True
285971	ZNF775	Zfp141	434178	0.440299	0.440299	0.000159489	1			False	False	True
286	ANK1	Ank1	11733	-1.04787	-1.04787	6.14759e-10	1			False	False	True
286128	ZFP41	Zfp41	22701	-0.419102	-0.419102	0.00670683	1	BMD		False	True	True
286133	SCARA5	Scara5	71145	-1.37682	-1.37682	0.000204858	1			False	False	True
286187	PPP1R42	Ppp1r42	69312	0.834219	0.834219	0.000271378	1			False	False	True
286336	FAM78A	Fam78a	241303	-0.70506	-0.70506	2.24559e-06	1			False	False	True
28638	TRBC2	Trbc2	100125263	0.488592	0.488592	0.0052317	1			False	False	True
28639	TRBC1	Trbc2	100125263	0.488592	0.488592	0.0052317	1			False	False	True
286451	YIPF6	Yipf6	77929	0.32294	0.32294	0.021948	1			False	False	True
286827	TRIM59	Trim59	66949	-0.528456	-0.528456	0.000362289	1			False	False	True
2872	MKNK2	Mknk2	17347	-1.17639	-1.17639	2.3119e-11	1			False	False	True
2874	GPS2	Gps2	56310	-0.642408	-0.642408	1.84877e-05	1			False	False	True
2889	RAPGEF1	Rapgef1	107746	-0.585471	-0.585471	0.000355423	1			False	False	True
28891	IGKV1D-43	Igkv14-126	628127	1.05695	1.05695	0.00828423	1			False	False	False
28896		Igkv14-126	628127	1.05695	1.05695	0.00828423	1			False	False	True
28908	IGKV4-1	Igkv8-27	434041	-1.79514	-1.79514	0.00573121	1			False	False	True
28933	IGKV1-33	Igkv14-126	628127	1.05695	1.05695	0.00828423	1			False	False	True
28935	IGKV1-27	Igkv14-126	628127	1.05695	1.05695	0.00828423	1			False	False	False
28940	IGKV1-12	Igkv14-126	628127	1.05695	1.05695	0.00828423	1			False	False	True
28956	LAMTOR2	Lamtor2	83409	0.497185	0.497185	1.03039e-05	1			False	False	True
