fips,indicator,value
20099,food_insecurity,13.8
20101,food_insecurity,10.5
20103,food_insecurity,9.3
20105,food_insecurity,9.9
20107,food_insecurity,13.6
20109,food_insecurity,10.5
20111,food_insecurity,10.4
20113,food_insecurity,8.9
20115,food_insecurity,9.3
20117,food_insecurity,8.5
20119,food_insecurity,7.5
20121,food_insecurity,8.7
20123,food_insecurity,10.8
20125,food_insecurity,15.0
20127,food_insecurity,10.1
20129,food_insecurity,12.0
20131,food_insecurity,8.8
20133,food_insecurity,13.9
20135,food_insecurity,9.2
20137,food_insecurity,8.5
20139,food_insecurity,11.7
20141,food_insecurity,11.0
20143,food_insecurity,9.6
20145,food_insecurity,11.3
20147,food_insecurity,11.4
20149,food_insecurity,8.0
20151,food_insecurity,9.3
20153,food_insecurity,10.2
20155,food_insecurity,11.3
20157,food_insecurity,8.9
20159,food_insecurity,11.0
20161,food_insecurity,12.7
20163,food_insecurity,9.0
20165,food_insecurity,9.8
20167,food_insecurity,11.0
20169,food_insecurity,11.3
20171,food_insecurity,7.6
20173,food_insecurity,12.9
20175,food_insecurity,8.0
20177,food_insecurity,10.5
20179,food_insecurity,7.0
20181,food_insecurity,8.2
20183,food_insecurity,9.5
20185,food_insecurity,9.6
20187,food_insecurity,10.0
20189,food_insecurity,9.6
20191,food_insecurity,13.2
20193,food_insecurity,8.1
20195,food_insecurity,8.2
20197,food_insecurity,8.4
20199,food_insecurity,11.5
20201,food_insecurity,8.8
20203,food_insecurity,7.9
20205,food_insecurity,14.0
20207,food_insecurity,13.1
20209,food_insecurity,12.9
21001,food_insecurity,15.2
21003,food_insecurity,13.7
21005,food_insecurity,13.1
21007,food_insecurity,13.4
21009,food_insecurity,17.8
