sym,goid,goLabel
SLC22A1,GO_0015871,choline transport
SLC22A1,GO_0015872,dopamine transport
SLC6A3,GO_0015872,dopamine transport
SLC22A1,GO_0015874,norepinephrine transport
SLC6A2,GO_0015874,norepinephrine transport
ABCG2,GO_0015878,biotin transport
SLC22A1,GO_0015888,thiamine transport
PPARD,GO_0015908,fatty acid transport
FABP1,GO_0015909,long-chain fatty acid transport
LDLR,GO_0015914,phospholipid transport
TSPO,GO_0015918,sterol transport
TP53,GO_0016032,viral process
LPL,GO_0016042,lipid catabolic process
ADORA1,GO_0016042,lipid catabolic process
DRD2,GO_0016055,Wnt signaling pathway
DDIT3,GO_0016055,Wnt signaling pathway
PRKAA1,GO_0016055,Wnt signaling pathway
CYP3A4,GO_0016098,monoterpenoid metabolic process
CYP2E1,GO_0016098,monoterpenoid metabolic process
CYP2C9,GO_0016098,monoterpenoid metabolic process
CYP1A2,GO_0016098,monoterpenoid metabolic process
CYP2C19,GO_0016098,monoterpenoid metabolic process
CYP19A1,GO_0016125,sterol metabolic process
HMGCS2,GO_0016126,sterol biosynthetic process
PRKAA1,GO_0016126,sterol biosynthetic process
TGFB1,GO_0016202,regulation of striated muscle tissue development
SRC,GO_0016236,macroautophagy
CASP3,GO_0016241,regulation of macroautophagy
PIK3CA,GO_0016242,negative regulation of macroautophagy
DUSP3,GO_0016311,dephosphorylation
SELP,GO_0016339,calcium-dependent cell-cell adhesion
MMP9,GO_0016477,cell migration
PTEN,GO_0016477,cell migration
F3,GO_0016485,protein processing
CASP3,GO_0016485,protein processing
PPARG,GO_0016525,negative regulation of angiogenesis
SHH,GO_0016539,intein-mediated protein splicing
SHH,GO_0016540,protein autoprocessing
ABCB11,GO_0016567,protein ubiquitination
NFE2L2,GO_0016567,protein ubiquitination
THRA,GO_0017055,negative regulation of RNA polymerase II transcription preinitiation complex assembly
CYP1A1,GO_0017143,insecticide metabolic process
RARA,GO_0017148,negative regulation of translation
KDR,GO_0018108,peptidyl-tyrosine phosphorylation
COL3A1,GO_0018149,peptide cross-linking
CYP2E1,GO_0018885,carbon tetrachloride metabolic process
CYP1A1,GO_0018894,dibenzo-p-dioxin metabolic process
CYP2E1,GO_0018910,benzene metabolic process
CYP2E1,GO_0018960,4-nitrophenol metabolic process
JUN,GO_0019046,release from viral latency
CCL2,GO_0019079,viral genome replication
NFIA,GO_0019079,viral genome replication
FABP1,GO_0019216,regulation of lipid metabolic process
RXRA,GO_0019216,regulation of lipid metabolic process
HNF4A,GO_0019216,regulation of lipid metabolic process
PPARA,GO_0019217,regulation of fatty acid metabolic process
RORA,GO_0019218,regulation of steroid metabolic process
RORC,GO_0019218,regulation of steroid metabolic process
IL6R,GO_0019221,cytokine-mediated signaling pathway
CCL2,GO_0019221,cytokine-mediated signaling pathway
IL6,GO_0019221,cytokine-mediated signaling pathway
TNFRSF1A,GO_0019221,cytokine-mediated signaling pathway
DRD1,GO_0019226,transmission of nerve impulse
