chemical,disease,category,genes_ICE_x_rdkg,effect_domain,aop_curated,min_AC50_uM,key_genes,n_evidence_types,tier
BPS,type 2 diabetes mellitus,Metabolic,2,1,0,7.116,PPARA|PPARG,2,B
BPAP,thyroid cancer,Thyroid/Endocrine,2,1,0,47.716,HIF1A|TSHR,2,B
BPA,myocardial ischemia,Cardiovascular,1,1,0,40.0,VCAM1,2,B
BisGMA,coronary artery disease,Cardiovascular,1,1,0,23.736,ESR1,2,B
BPAP,type 2 diabetes mellitus,Metabolic,1,1,0,16.309,PAX6,2,B
BPZ,type 2 diabetes mellitus,Metabolic,1,1,0,6.448,PPARG,2,B
TBu-EBP,endometrial carcinoma,Hormone-dependent cancer,1,1,0,5.8,PTEN,2,B
BPS,thyroid cancer,Thyroid/Endocrine,1,1,0,7.116,PPARG,2,B
TBu-EBP,thyroid cancer,Thyroid/Endocrine,4,0,0,3.201,IL6|PTEN|RXRA|TNF,1,C
TBu-EBP,obesity disorder,Metabolic,3,0,0,0.08,IL6|NR1I2|TNF,1,C
BPF,thyroid cancer,Thyroid/Endocrine,2,0,0,2.185,HIF1A|PPARG,1,C
TBu-EBP,type 2 diabetes mellitus,Metabolic,1,0,0,10.0,TNF,1,C
BPE,thyroid cancer,Thyroid/Endocrine,1,0,0,35.234,PPARG,1,C
