mondo,dlabel,k,K,expected,fold,p,FDR
MONDO_0001569,acoustic neuroma,7,65,1.2384361233480177,5.652289906625167,0.00022162252183647357,0.0002954966957819647
MONDO_0010888,endometriosis of uterus,11,161,3.067511013215859,3.5859691954188055,0.0002457415869879241,0.00031935415411201275
MONDO_0006337,ovarian endometriosis,11,161,3.067511013215859,3.5859691954188055,0.0002457415869879241,0.00031935415411201275
MONDO_0005133,endometriosis (disease),11,161,3.067511013215859,3.5859691954188055,0.0002457415869879241,0.00031935415411201275
MONDO_0002629,bone osteosarcoma,6,47,0.8954845814977973,6.700282868035912,0.000246398248215734,0.00031935415411201275
MONDO_0009807,osteosarcoma (disease),6,47,0.8954845814977973,6.700282868035912,0.000246398248215734,0.00031935415411201275
MONDO_0006525,allergic contact dermatitis,7,67,1.2765418502202643,5.48356483478561,0.0002681423857200764,0.0003456057415947651
MONDO_0005027,epilepsy,12,193,3.6772026431718063,3.263350205157387,0.0003094583101743912,0.00039665374563789367
MONDO_0008383,rheumatoid arthritis,11,174,3.3151982378854625,3.3180519566806193,0.0004790852765023271,0.0006107021107062631
MONDO_0005059,leukemia (disease),6,55,1.047907488986784,5.72569626904887,0.0005866560406171262,0.0007396967468650721
MONDO_0002083,Richter syndrome,6,55,1.047907488986784,5.72569626904887,0.0005866560406171262,0.0007396967468650721
MONDO_0013626,"psoriasis 14, pustular",6,57,1.0860132158590308,5.524794645573472,0.0007116704134426198,0.0008876749242940204
MONDO_0015597,pustulosis palmaris et plantaris,6,57,1.0860132158590308,5.524794645573472,0.0007116704134426198,0.0008876749242940204
MONDO_0005083,psoriasis,6,59,1.1241189427312774,5.337513471147252,0.0008563685434481314,0.001056795223829609
MONDO_0006592,parapsoriasis,6,59,1.1241189427312774,5.337513471147252,0.0008563685434481314,0.001056795223829609
MONDO_0021068,ovarian neoplasm,9,134,2.5530837004405287,3.5251488223621776,0.0010204256022108508,0.00125258592440697
MONDO_0018172,malignant sex cord stromal tumor of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0020543,"theca steroid-producing cell malignant tumor of ovary, not further specified",9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0020542,malignant Sertoli-Leydig cell tumor of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0017327,primary non-gestational choriocarcinoma of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0016093,borderline epithelial tumor of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0008170,ovarian cancer,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0018171,malignant germ cell tumor of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0016249,hereditary site-specific ovarian cancer syndrome,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
